Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2017,Provincia de BADAJOZ,5,10,264,1,97,7,90,224,1633,978,5234,248,127,18749
2017,06011 Almendralejo,0,0,11,0,12,1,11,18,92,63,345,16,6,1372
2017,06015 Badajoz,2,2,56,0,30,2,28,111,486,289,2295,110,34,6928
2017,06044 Don Benito,1,0,7,0,3,0,3,8,59,31,427,14,3,1159
2017,06083 Mérida,0,1,16,0,4,1,3,35,144,91,661,38,21,2217
2017,Provincia de CÁCERES,3,6,111,0,56,3,53,53,559,310,2011,88,74,7662
2017,10037 Cáceres,1,3,31,0,22,3,19,25,115,68,652,39,20,2208
2017,10148 Plasencia,0,2,15,0,11,0,11,11,37,26,363,14,7,1133
2017,GALICIA,13,27,844,4,459,44,415,1057,5438,3402,20320,794,371,74174
2017,Provincia de CORUÑA (A),7,13,273,1,180,16,164,429,2418,1547,9229,353,112,33232
2017,15002 Ames,0,0,5,0,8,0,8,3,58,50,138,12,2,873
2017,15005 Arteixo,0,2,3,0,4,0,4,5,93,53,122,19,5,946
2017,15019 Carballo,1,1,11,0,4,0,4,9,54,39,211,14,2,947
2017,15030 Coruña (A),3,6,58,1,53,2,51,211,483,257,3591,111,18,9671
2017,15036 Ferrol,0,1,21,0,13,2,11,27,113,61,584,19,7,2103
2017,15054 Narón,0,0,5,0,2,0,2,13,44,17,176,5,4,787
2017,15058 Oleiros,0,0,3,0,9,0,9,9,95,77,244,9,2,1063
2017,15078 Santiago de Compostela,0,1,37,0,24,4,20,51,165,119,1595,42,15,3823
2017,Provincia de LUGO,0,3,108,0,51,10,41,97,452,251,1772,77,50,6961
2017,27028 Lugo,0,2,43,0,18,1,17,67,137,69,965,42,26,2896
2017,Provincia de OURENSE,2,2,78,1,46,5,41,106,526,367,1905,82,40,7222
2017,32054 Ourense,0,2,34,1,23,3,20,75,159,101,1201,44,25,3406
2017,Provincia de PONTEVEDRA,4,9,385,2,182,13,169,425,2042,1237,7414,282,169,26759
2017,36038 Pontevedra,0,0,15,0,17,0,17,56,208,111,1070,18,25,2995
2017,36057 Vigo,0,1,99,1,58,4,54,250,569,307,3065,151,70,9064
2017,36060 Vilagarcía de Arousa,0,0,10,1,13,0,13,20,63,29,469,11,7,1512
2017,MADRID (COMUNIDAD DE),39,86,2124,7,1776,221,1555,16314,19310,12562,156329,10715,1608,381242
2017,Provincia de MADRID,39,86,2124,7,1776,221,1555,16314,19310,12562,156329,10715,1608,381242
2017,28005 Alcalá de Henares,4,1,38,0,53,2,51,291,454,224,2676,277,40,9214
2017,28006 Alcobendas,3,0,29,0,30,5,25,146,312,174,1661,209,14,5097
2017,28007 Alcorcón,3,2,27,0,19,3,16,346,327,177,2478,231,22,6541
2017,28013 Aranjuez,0,1,17,0,16,2,14,45,116,71,648,82,12,2421
2017,28014 Arganda del Rey,0,1,23,0,10,1,9,82,179,119,446,71,12,2350
2017,28022 Boadilla del Monte,1,0,4,0,7,0,7,24,121,85,339,34,6,1239
2017,28047 Collado Villalba,0,1,28,0,19,3,16,42,116,88,464,21,5,1835
2017,28045 Colmenar Viejo,1,3,37,0,45,4,41,125,206,154,837,39,12,3054
2017,28049 Coslada,0,0,16,0,15,0,15,90,180,118,1104,118,9,3341
2017,28058 Fuenlabrada,2,0,25,0,40,2,38,343,364,191,2531,311,22,7652
2017,28061 Galapagar,0,0,10,0,11,1,10,41,115,107,216,12,3,1221
2017,28065 Getafe,1,0,17,0,38,3,35,533,419,241,2703,372,11,8172
2017,28074 Leganés,0,1,52,0,37,5,32,288,399,200,4191,289,22,9448
2017,28079 Madrid,16,55,1245,4,1004,144,860,11507,9702,6027,112272,6256,1199,235475
2017,28080 Majadahonda,0,3,13,0,18,3,15,91,171,126,1481,98,11,3738
2017,28092 Móstoles,1,3,48,1,46,9,37,362,469,289,2354,336,22,8717
2017,28106 Parla,2,1,25,0,21,6,15,358,216,119,1893,131,18,5874
2017,28113 Pinto,0,0,15,0,13,1,12,105,129,66,879,116,9,2728
2017,28115 Pozuelo de Alarcón,0,0,8,0,8,1,7,65,199,134,1010,107,3,2962
2017,28123 Rivas-Vaciamadrid,1,0,30,0,24,1,23,153,317,203,1813,143,2,5509
2017,28127 Rozas de Madrid (Las),0,0,22,0,22,4,18,143,344,265,1546,102,15,4774
2017,28130 San Fernando de Henares,0,0,6,0,6,0,6,27,59,34,606,96,3,1788
2017,28134 San Sebastián de los Reyes,0,0,9,0,22,0,22,102,239,140,2101,110,17,4735
2017,28148 Torrejón de Ardoz,1,2,51,0,30,2,28,116,206,116,1312,114,9,4471
2017,28161 Valdemoro,0,1,43,0,20,2,18,119,151,96,905,126,7,3391
2017,28903 Tres Cantos,0,0,14,0,6,0,6,34,85,62,414,16,3,1212
2017,MURCIA (REGION DE),14,31,604,0,391,41,350,1458,6956,5826,15261,1293,293,52690
2017,Provincia de MURCIA,14,31,604,0,391,41,350,1458,6956,5826,15261,1293,293,52690
2017,30003 Águilas,1,2,14,0,7,0,7,18,207,172,628,27,7,1846
2017,30005 Alcantarilla,0,0,10,0,10,0,10,31,101,75,275,24,3,1047
2017,30016 Cartagena,5,4,50,0,54,9,45,177,837,708,2095,100,55,7041
2017,30019 Cieza,0,0,22,0,7,0,7,31,155,135,198,22,2,1043
2017,30024 Lorca,0,1,23,0,15,1,14,42,309,266,497,24,16,1891
2017,30026 Mazarrón,0,0,30,0,5,1,4,30,520,476,497,11,3,1832
2017,30027 Molina de Segura,3,2,8,0,10,1,9,56,233,203,508,50,9,1746
2017,30030 Murcia,1,11,200,0,127,11,116,714,1983,1623,6440,654,88,18929
2017,30035 San Javier,0,0,28,0,17,0,17,48,197,171,874,58,8,2213
2017,30037 Torre-Pacheco,0,1,23,0,16,3,13,45,300,222,226,28,9,1455
2017,30039 Totana,1,0,32,0,16,3,13,22,158,132,325,16,4,1093
2017,30043 Yecla,0,2,9,0,6,0,6,9,57,36,115,6,2,567
2017,NAVARRA (COMUNIDAD FORAL DE),8,21,388,1,232,29,203,432,1519,955,7572,169,134,24828
2017,Provincia de NAVARRA,8,21,388,1,232,29,203,432,1519,955,7572,169,134,24828
2017,31201 Pamplona/Iruña,2,2,132,0,114,8,106,281,521,293,4887,77,50,11217
2017,31232 Tudela,0,0,48,0,16,2,14,33,155,108,598,24,3,2166
2017,PAÍS VASCO,5,36,1049,9,500,76,424,1787,7264,4058,27873,900,332,83687
2017,Provincia de ARABA/ÁLAVA,1,5,136,1,84,5,79,144,812,513,4565,64,47,12138
2017,01059 Vitoria-Gasteiz,0,5,118,1,75,4,71,128,580,414,4005,45,34,8320
2017,Provincia de GIPUZKOA,1,16,323,1,142,24,118,341,2309,1321,5801,267,128,22281
2017,20045 Irun,0,0,40,0,6,2,4,36,186,116,785,33,23,2436
2017,20067 Errenteria,0,0,28,1,7,4,3,40,105,53,337,12,6,1172
2017,20069 Donostia/San Sebastián,0,6,77,0,49,6,43,139,593,407,1706,87,39,5322
2017,Provincia de BIZKAIA,3,15,590,7,274,47,227,1302,4143,2224,17507,569,157,49268
2017,48013 Barakaldo,0,0,73,0,18,4,14,152,464,206,1716,63,23,4518
2017,48015 Basauri,0,0,9,0,5,1,4,18,121,59,462,18,10,1186
2017,48020 Bilbao,1,9,238,2,107,15,92,800,869,518,9836,179,37,19618
2017,48044 Getxo,0,0,32,2,19,3,16,65,207,125,605,24,2,1846
2017,48054 Leioa,0,1,19,0,4,0,4,13,80,46,290,18,2,780
2017,48078 Portugalete,1,0,17,1,6,2,4,25,136,81,681,35,0,1441
2017,48082 Santurtzi,0,0,13,0,11,2,9,37,136,85,378,17,2,1146
2017,RIOJA (LA),0,6,128,0,57,7,50,104,722,587,2563,89,80,7877
2017,Provincia de LA RIOJA,0,6,128,0,57,7,50,104,722,587,2563,89,80,7877
2017,26089 Logroño,0,3,59,0,24,2,22,69,289,233,1862,54,54,4268
2017,CIUDAD AUTÓNOMA DE CEUTA,1,7,58,1,25,5,20,131,83,57,810,216,227,4503
2017,51001 Ceuta,1,7,58,1,25,5,20,131,83,57,810,216,227,4503
2017,CIUDAD AUTÓNOMA DE MELILLA,0,8,117,0,29,0,29,356,142,99,1154,113,64,4744
2017,52001 Melilla,0,8,117,0,29,0,29,356,142,99,1154,113,64,4744
2017,NACIONAL,308,799,18086,69,11692,1382,10310,61763,149651,105099,712398,42519,12958,2045785
