Fecha,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6. Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES
2022,38035 San Miguel de Abona,1232,0,0,18,0,14,3,11,19,118,108,410,24,4,625,213,187,26,1445
2022,38038 Santa Cruz de Tenerife,6873,2,2,95,0,83,25,58,154,222,154,2233,122,43,3917,1468,1289,179,8341
2022,38043 Tacoronte,533,0,0,8,0,5,0,5,7,42,32,85,5,2,379,85,73,12,618
2022,CANTABRIA,18903,1,11,374,0,140,39,101,242,1818,1348,4878,86,83,11270,4806,4349,457,23709
2022,Provincia de CANTABRIA,18903,1,11,374,0,140,39,101,242,1818,1348,4878,86,83,11270,4806,4349,457,23709
2022,39016 Camargo,1206,0,1,12,0,9,2,7,4,116,83,461,3,3,597,285,270,15,1491
2022,39020 Castro-Urdiales,1403,0,0,24,0,16,2,14,9,101,86,342,3,5,903,219,197,22,1622
2022,39052 Piélagos,576,0,1,8,0,5,1,4,0,76,63,85,5,2,394,241,224,17,817
2022,39075 Santander,5751,1,2,128,0,47,13,34,131,405,284,2154,36,34,2813,1668,1521,147,7419
2022,39087 Torrelavega,1689,0,0,33,0,15,5,10,32,164,104,447,15,10,973,424,401,23,2113
2022,CASTILLA Y LEON,65542,16,39,1038,3,535,107,428,710,4360,2966,17361,512,482,40486,21302,18968,2334,86844
2022,Provincia de ÁVILA,4058,1,1,90,0,39,9,30,25,294,229,690,13,27,2878,1218,1094,124,5276
2022,05019 Ávila,923,1,0,13,0,14,4,10,5,53,27,241,6,5,585,416,396,20,1339
2022,Provincia de BURGOS,10506,2,12,182,0,74,26,48,162,770,557,2851,83,93,6277,2822,2505,317,13328
2022,09018 Aranda de Duero,1238,0,3,16,0,8,4,4,21,48,36,377,8,7,750,346,296,50,1584
2022,09059 Burgos,4563,2,3,81,0,39,15,24,107,257,170,1721,47,51,2255,1490,1366,124,6053
2022,09219 Miranda de Ebro,1068,0,1,27,0,5,1,4,15,88,77,224,13,9,686,229,204,25,1297
2022,Provincia de LEÓN,12716,2,7,204,0,110,17,93,183,778,468,3529,112,72,7719,3757,3373,384,16473
2022,24089 León,4849,1,0,74,0,35,6,29,117,300,113,2038,56,20,2208,1395,1281,114,6244
2022,24115 Ponferrada,1619,0,1,25,0,21,4,17,24,103,74,476,16,12,941,628,548,80,2247
2022,24142 San Andrés del Rabanedo,756,0,2,6,0,5,1,4,12,36,28,175,13,4,503,293,257,36,1049
2022,Provincia de PALENCIA,3589,1,2,73,0,38,6,32,44,203,139,761,29,51,2387,1392,1274,118,4981
2022,34120 Palencia,1725,1,2,27,0,23,3,20,37,64,39,497,20,26,1028,562,528,34,2287
2022,Provincia de SALAMANCA,8829,0,7,112,0,55,18,37,95,624,430,2840,53,77,4966,3508,3002,506,12337
2022,37274 Salamanca,5066,0,6,43,0,28,11,17,81,310,231,2025,35,34,2504,1693,1400,293,6759
2022,Provincia de SEGOVIA,4074,0,2,65,0,45,12,33,25,283,233,949,37,31,2637,1300,1110,190,5374
2022,40194 Segovia,1344,0,0,16,0,15,4,11,14,30,21,506,7,8,748,339,313,26,1683
2022,Provincia de SORIA,2359,2,0,38,0,34,6,28,7,137,97,515,19,25,1582,1043,961,82,3402
2022,42173 Soria,1103,1,0,27,0,20,4,16,6,48,35,308,7,14,672,579,533,46,1682
2022,Provincia de VALLADOLID,15009,8,4,199,2,112,8,104,143,956,625,4145,129,60,9251,5284,4775,509,20293
2022,47010 Arroyo de la Encomienda,956,0,0,10,0,1,0,1,5,27,23,490,7,2,414,357,318,39,1313
2022,47076 Laguna de Duero,751,0,0,10,0,3,0,3,8,28,18,117,2,1,582,205,171,34,956
2022,47085 Medina del Campo,478,1,0,11,0,7,1,6,6,28,18,94,2,3,326,182,166,16,660
2022,47186 Valladolid,8401,4,3,100,0,76,4,72,110,521,333,2780,86,35,4686,2849,2631,218,11250
2022,Provincia de ZAMORA,4402,0,4,75,1,28,5,23,26,315,188,1081,37,46,2789,978,874,104,5380
2022,49275 Zamora,1594,0,1,19,0,10,3,7,13,112,77,516,29,24,870,483,441,42,2077
2022,CASTILLA - LA MANCHA,65193,19,47,981,2,550,116,434,899,4807,3307,14393,654,560,42281,15649,13608,2041,80842
2022,Provincia de ALBACETE,11993,2,12,165,0,115,30,85,204,723,563,3703,135,85,6849,3308,2966,342,15301
2022,02003 Albacete,6433,2,2,70,0,64,21,43,133,216,165,2577,92,30,3247,1714,1585,129,8147
2022,02009 Almansa,457,0,1,7,0,11,0,11,4,51,36,93,3,4,283,125,113,12,582
2022,02037 Hellín,1273,0,4,15,0,10,4,6,30,132,110,239,6,6,831,210,186,24,1483
2022,02081 Villarrobledo,877,0,0,15,0,5,1,4,16,59,40,323,3,17,439,251,211,40,1128
2022,Provincia de CIUDAD REAL,12657,5,14,215,1,108,28,80,200,871,573,2897,107,105,8134,3243,2880,363,15900
2022,13005 Alcázar de San Juan,793,0,1,10,0,11,2,9,7,55,22,199,17,6,487,279,256,23,1072
2022,13034 Ciudad Real,2533,0,0,31,0,20,6,14,73,117,62,922,27,14,1329,741,666,75,3274
2022,13071 Puertollano,1638,0,0,26,0,14,2,12,43,89,61,335,25,16,1090,270,238,32,1908
2022,13082 Tomelloso,972,1,0,32,0,14,4,10,26,63,49,191,3,13,629,122,109,13,1094
2022,13087 Valdepeñas,633,0,1,6,0,7,4,3,7,31,19,132,7,7,435,160,150,10,793
2022,Provincia de CUENCA,5459,2,5,112,0,56,17,39,47,439,263,1096,31,47,3624,1579,1411,168,7038
