Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,11. Resto de criminalidad convencional,III. TOTAL INFRACCIONES PENALES
2021,36042 Ponteareas,0,0,20,0,15,1,14,2,24,17,94,0,5,606,766
2021,36045 Redondela,1,0,4,0,7,0,7,5,17,9,67,8,2,672,783
2021,36057 Vigo,0,3,100,0,115,13,102,136,435,319,2217,135,63,7341,10545
2021,36060 Vilagarcía de Arousa,0,0,19,0,13,0,13,18,55,38,349,9,5,1269,1737
2021,MADRID (COMUNIDAD DE),37,94,2717,13,2420,274,2146,12153,12381,8243,108778,6922,2502,197970,345987
2021,Provincia de MADRID,37,94,2717,13,2420,274,2146,12153,12381,8243,108778,6922,2502,197970,345987
2021,28005 Alcalá de Henares,1,8,66,1,59,3,56,232,376,161,2483,222,28,6162,9638
2021,28006 Alcobendas,0,1,43,0,31,5,26,70,208,145,1114,246,32,2751,4496
2021,28007 Alcorcón,0,4,30,1,37,6,31,245,248,148,2135,142,26,4113,6981
2021,28009 Algete,0,0,6,0,3,0,3,8,33,21,132,17,4,502,705
2021,28013 Aranjuez,1,0,22,0,10,0,10,36,80,49,555,35,8,1461,2208
2021,28014 Arganda del Rey,0,0,50,0,23,0,23,48,108,52,413,21,11,1748,2422
2021,28015 Arroyomolinos,0,1,11,0,6,2,4,40,67,53,1314,40,12,1149,2640
2021,28022 Boadilla del Monte,0,1,13,0,16,2,14,20,112,92,371,5,8,1196,1742
2021,28040 Ciempozuelos,1,0,21,0,15,0,15,32,106,90,209,22,9,940,1355
2021,28047 Collado Villalba,0,2,29,0,16,1,15,40,96,78,296,14,12,1052,1557
2021,28045 Colmenar Viejo,1,0,35,0,28,3,25,72,129,85,596,15,6,1649,2531
2021,28049 Coslada,0,2,27,0,15,0,15,60,145,72,877,75,19,2035,3255
2021,28058 Fuenlabrada,1,1,33,0,51,7,44,235,265,154,1696,161,39,4311,6793
2021,28061 Galapagar,0,2,26,0,19,2,17,25,106,91,217,8,5,1223,1631
2021,28065 Getafe,1,0,26,1,70,11,59,360,226,143,2413,204,21,4955,8277
2021,28074 Leganés,0,2,72,0,49,7,42,256,298,169,2780,197,28,4438,8120
2021,28079 Madrid,18,50,1507,9,1348,155,1193,8609,5904,3837,73259,4302,1824,105997,202827
2021,28080 Majadahonda,1,0,29,0,28,4,24,72,174,113,1507,114,8,1980,3913
2021,28084 Mejorada del Campo,0,0,20,0,6,0,6,14,39,20,240,35,9,975,1338
2021,28092 Móstoles,0,3,46,0,50,11,39,227,352,239,1514,145,47,5427,7811
2021,28096 Navalcarnero,0,0,5,0,9,1,8,18,69,54,188,25,11,875,1200
2021,28104 Paracuellos de Jarama,0,0,7,0,7,0,7,14,39,29,122,19,5,675,888
2021,28106 Parla,3,0,42,0,58,9,49,316,144,89,1316,75,31,3438,5423
2021,28113 Pinto,0,0,13,0,22,5,17,99,66,41,618,38,24,1477,2357
2021,28115 Pozuelo de Alarcón,2,0,14,0,12,1,11,63,90,74,861,77,16,1334,2469
2021,28123 Rivas-Vaciamadrid,0,2,44,0,35,4,31,141,262,152,1528,29,8,3146,5195
2021,28127 Rozas de Madrid (Las),0,0,35,0,19,2,17,54,212,157,1144,66,9,2400,3939
2021,28130 San Fernando de Henares,0,0,16,0,10,1,9,34,57,34,433,64,24,1170,1808
2021,28134 San Sebastián de los Reyes,0,2,22,0,25,1,24,74,127,95,1349,62,23,2131,3815
2021,28148 Torrejón de Ardoz,1,5,45,0,51,9,42,95,105,59,1305,56,48,3386,5097
2021,28152 Torrelodones,0,0,9,0,5,0,5,35,87,73,278,4,5,714,1137
2021,28903 Tres Cantos,0,0,12,0,12,2,10,25,47,35,374,5,6,1027,1508
2021,28161 Valdemoro,0,0,58,0,46,4,42,53,115,68,656,40,13,2462,3443
2021,28176 Villanueva de la Cañada,0,0,11,0,8,1,7,20,57,47,240,6,0,591,933
2021,28181 Villaviciosa de Odón,0,0,13,0,14,1,13,53,100,73,274,6,3,798,1261
2021,MURCIA (REGION DE),14,46,863,3,613,61,552,1375,4875,3793,11925,666,506,37088,57974
2021,Provincia de MURCIA,14,46,863,3,613,61,552,1375,4875,3793,11925,666,506,37088,57974
2021,30003 Águilas,0,1,13,0,12,1,11,38,162,91,403,6,11,1128,1774
2021,30005 Alcantarilla,0,5,16,0,15,3,12,43,72,51,223,26,37,894,1331
2021,30008 Alhama de Murcia,0,1,13,0,7,0,7,16,68,53,151,9,5,591,861
2021,30015 Caravaca de la Cruz,0,1,9,0,14,1,13,7,70,43,83,10,5,441,640
2021,30016 Cartagena,4,15,81,0,71,9,62,141,519,395,2038,49,58,5194,8170
2021,30019 Cieza,0,0,19,0,7,0,7,34,61,47,212,3,7,813,1156
2021,30022 Jumilla,1,0,18,0,14,2,12,22,62,50,169,5,13,787,1091
2021,30024 Lorca,3,0,46,0,40,3,37,58,132,99,493,18,17,1716,2523
2021,30026 Mazarrón,1,0,32,0,21,5,16,25,290,237,343,9,9,973,1703
2021,30027 Molina de Segura,0,1,41,0,19,7,12,43,236,198,460,44,18,1339,2201
2021,30030 Murcia,1,14,265,2,182,14,168,666,1627,1272,4316,323,173,12380,19949
2021,30035 San Javier,0,0,33,0,20,3,17,39,176,141,563,18,17,1152,2018
2021,30036 San Pedro del Pinatar,0,1,10,0,10,1,9,21,94,75,303,4,10,683,1136
2021,30037 Torre-Pacheco,1,5,28,1,22,2,20,26,175,119,248,17,6,1106,1635
2021,30038 Torres de Cotillas (Las),0,0,12,0,7,0,7,17,73,57,127,9,10,610,865
2021,30039 Totana,1,0,56,0,28,5,23,23,93,77,178,8,13,679,1079
2021,30041 La Unión,0,0,9,0,4,0,4,4,19,15,132,4,1,406,579
2021,30043 Yecla,0,1,21,0,13,0,13,10,68,51,118,12,10,593,846
2021,NAVARRA (COMUNIDAD FORAL DE),2,21,272,5,264,40,224,298,1265,824,5523,122,147,18800,26719
2021,Provincia de NAVARRA,2,21,272,5,264,40,224,298,1265,824,5523,122,147,18800,26719
2021,31086 Valle de Egüés/Eguesibar,0,0,5,0,6,1,5,2,43,37,60,2,2,447,567
2021,31201 Pamplona/Iruña,1,6,75,2,129,22,107,205,399,211,3181,61,77,6998,11134
2021,31232 Tudela,0,2,36,0,17,5,12,27,104,86,440,9,10,1284,1929
2021,PAÍS VASCO,11,51,1079,4,718,122,596,1426,6573,4350,22253,694,525,51447,84781
2021,Provincia de ARABA/ÁLAVA,2,1,162,0,93,19,74,120,592,354,2918,65,89,7341,11383
2021,01059 Vitoria-Gasteiz,2,1,126,0,77,16,61,103,338,184,2489,41,64,5297,8538
2021,Provincia de GIPUZKOA,3,30,393,2,262,34,228,297,2181,1249,4874,211,235,15843,24331
2021,20030 Eibar,0,0,24,0,11,2,9,9,123,47,207,9,10,712,1105
2021,20067 Errenteria,0,2,20,0,13,1,12,16,114,60,247,3,14,1052,1481
2021,20040 Hernani,0,1,5,0,8,1,7,8,60,37,113,3,5,398,601
2021,20045 Irun,1,2,63,0,32,3,29,61,219,142,650,42,39,2065,3174
2021,20055 Arrasate/Mondragón,0,0,3,0,13,2,11,6,27,15,92,1,6,380,528
2021,20069 Donostia/San Sebastián,1,14,128,1,76,6,70,131,710,445,1788,58,61,4172,7140
2021,20079 Zarautz,0,1,4,0,6,2,4,3,55,40,168,5,3,480,725
2021,Provincia de BIZKAIA,6,20,524,2,363,69,294,1009,3800,2747,14461,418,201,28263,49067
2021,48013 Barakaldo,0,3,39,0,44,11,33,109,494,336,1366,52,14,2715,4836
2021,48015 Basauri,0,2,17,0,14,0,14,41,55,44,425,10,12,955,1531
2021,48020 Bilbao,2,7,189,1,123,27,96,613,745,484,8368,105,59,8650,18862
2021,48027 Durango,0,0,12,0,12,2,10,11,34,20,236,3,3,526,837
2021,48902 Erandio,0,0,16,0,11,5,6,16,65,55,247,13,3,782,1153
2021,48036 Galdakao,0,0,13,0,5,0,5,13,133,98,199,16,3,706,1088
2021,48044 Getxo,1,2,18,0,10,2,8,35,205,162,435,10,3,1303,2022
2021,48054 Leioa,0,0,15,0,15,3,12,8,191,184,272,17,2,617,1137
2021,48078 Portugalete,0,0,9,0,9,3,6,13,157,94,472,19,7,968,1654
2021,48082 Santurtzi,1,0,14,0,12,2,10,18,95,71,208,10,3,980,1341
2021,48084 Sestao,1,0,10,0,19,1,18,16,147,119,200,14,4,820,1231
2021,RIOJA (LA),3,5,161,0,102,9,93,116,496,397,1789,59,75,6309,9115
2021,Provincia de LA RIOJA,3,5,161,0,102,9,93,116,496,397,1789,59,75,6309,9115
2021,26036 Calahorra,0,0,9,0,7,1,6,7,25,19,94,2,7,363,514
2021,26089 Logroño,1,3,71,0,57,6,51,83,194,138,1284,37,48,3019,4797
2021,CIUDAD AUTÓNOMA DE CEUTA,2,10,73,3,47,4,43,195,59,31,434,103,205,2785,3916
2021,51001 Ceuta,2,10,73,3,47,4,43,195,59,31,434,103,205,2785,3916
2021,CIUDAD AUTÓNOMA DE MELILLA,0,4,119,0,39,2,37,201,70,55,576,35,230,2842,4116
2021,52001 Melilla,0,4,119,0,39,2,37,201,70,55,576,35,230,2842,4116
2021,NACIONAL,290,1032,20252,97,17016,2143,14873,53073,105274,75501,493479,26417,18313,1222476,1957719
